Time_s,Pageouts_per_sec,Swapouts_per_sec
1.01,0,0
2.01,0,0
3.02,0,0
4.02,0,0
5.02,0,0
6.03,0,0
7.03,0,0
8.04,0,0
9.04,0,0
10.04,0,0
11.05,16,0
12.05,0,0
13.06,8,0
14.06,0,0
15.06,0,0
16.07,3,0
17.07,0,0
18.07,0,0
19.07,2,0
20.07,16,0
22.08,0,0
23.08,0,0
24.09,8,0
25.09,1,0
26.09,0,0
27.09,7,0
28.1,0,0
29.1,0,0
30.11,1,0
31.11,0,0
32.12,0,0
33.12,24,0
34.13,0,0
35.13,0,0
36.13,0,0
37.14,0,0
38.14,0,0
39.15,0,0
40.15,0,0
41.16,0,0
43.17,0,0
44.17,0,0
45.18,0,0
46.18,0,0
47.18,0,0
48.19,1,0
49.19,0,0
50.2,1,0
51.2,1,0
52.2,0,0
53.2,35,0
54.21,0,0
55.21,0,0
56.22,0,0
57.22,0,0
58.23,0,0
59.23,0,0
60.24,1,0
61.24,9,0
62.25,26,0
64.26,0,0
65.26,1,0
66.27,2,0
67.27,3,0
68.28,11,0
69.28,0,0
70.29,3,0
71.29,1,0
72.3,2,0
73.3,2,0
74.31,0,0
75.31,0,0
76.32,1,0
77.32,0,0
78.32,0,0
79.32,0,0
80.32,3,0
81.33,0,0
82.33,9,0
83.34,2,0
85.34,0,0
